,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
27,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,196116,15232,211348,224044,123941,106641,142
28,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,185091,20126,205217,273223,142351,105358,241
29,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,152458,11987,164445,193671,107367,80497,421
30,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,,192787,,244296,321533,,90808,811
31,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,171102,21054,192156,,,82471,301
32,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,279269,95896,375165,425721,241956,145577,756
33,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,,36697,24002,44514,0,44514,42360,26599,15075,87
34,PUNJAB,Gurdaspur,2298323,,1085706,1634719,907660,727059,420860,185488,606348,1261421,611353,423301,2248
35,PUNJAB,Kapurthala,,426311,388857,576567,316254,260313,165433,95770,261203,433331,222324,157833,1680
36,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,330339,377791,708130,1159156,616431,416449,1554
37,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,422673,128592,551265,831741,422782,,1431
38,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,,438459,239155,199304,183168,48383,231551,318597,163305,128310,2098
39,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,117559,57337,174896,321018,166781,111028,1336
40,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,395032,641789,1036821,1901528,980046,614258,2907
41,PUNJAB,Moga,995746,525920,469826,627889,,279340,214295,74144,288439,535408,258826,,6744
42,PUNJAB,Firozpur,2029074,1071637,957437,1227511,,520441,348522,153868,502390,1171770,525459,331259,586
43,PUNJAB,Muktsar,901896,475622,426274,524848,,224447,149507,74650,,495167,242628,162297,1804
44,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,99946,58917,,336540,164962,113721,2285
45,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,218159,137563,,754927,,255283,608
46,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,145603,50786,196389,420050,200882,146103,2716
47,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,299279,218090,517369,1042519,517079,335100,988
48,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,275477,385476,660953,,667193,436496,1980
49,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,222717,44457,267174,641875,283645,190898,3209
50,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,148162,60537,208699,365300,,131707,2196
51,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,117293,174042,,540872,281462,171656,638
52,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,292156,156788,448944,904316,435148,,4084
53,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,102577,54222,156799,322607,158413,114077,430
54,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,8911,289456,298367,602411,303748,148945,346
55,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,112148,9061,121209,202426,75997,51245,418
56,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,163434,22906,186340,229715,93182,67873,835
57,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,,79130,112705,4454,117159,141848,54979,44986,472
58,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,227059,27177,254236,368324,139371,109998,1238
59,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,,557290,228245,269393,,968517,446046,276280,5851
60,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,279682,36780,316462,380765,160183,145445,878
61,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,183687,26256,209943,273494,116749,92517,679
62,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,96031,3880,99911,147488,60569,51672,169
63,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,260056,21082,,351595,141238,128994,679
64,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,85202,12839,98041,156916,60722,41913,97
65,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,193086,105577,298663,562548,243095,147053,1909
66,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,269406,145253,414659,1042614,392370,212223,1695
67,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,301828,186183,488011,1207120,435385,246229,1688
68,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,70895,93656,,309078,157076,93606,1533
69,HARYANA,Ambala,1128350,598703,,818025,461288,356737,175365,139891,315256,617859,308126,201685,680
70,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,214464,143259,357723,,317708,,298
71,HARYANA,Kurukshetra,,510976,453679,646893,370828,276065,203553,88268,291821,552034,250830,160216,1575
72,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,231091,,306787,630194,265813,176320,1977
73,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,292682,135920,428602,884972,380409,234684,5259
74,HARYANA,Panipat,,646857,558580,786599,464136,322463,173502,153804,327306,739075,298764,167244,354
75,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,,133576,417434,855201,360216,233318,1266
76,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,278335,89665,368000,784085,335704,213478,885
77,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,203020,55360,258380,555745,237009,147469,
78,HARYANA,Sirsa,1295189,682582,612607,,456968,325929,245476,93316,338792,750228,334344,208185,2432
79,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,,154113,456126,1017830,456536,265109,4456
80,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,357047,99235,456282,964960,405760,261428,2297
81,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,,131739,306942,605741,269354,185685,424
82,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,211816,78328,290144,549975,245095,162356,979
83,HARYANA,Mahendragarh,922088,486665,435423,630255,,249815,223726,44216,267942,530000,229392,161258,1438
84,HARYANA,Rewari,900332,474335,425997,636947,,261494,199449,69305,268754,518747,230704,150557,324
85,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,141703,381988,523691,875531,,210307,493
86,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,187398,36237,223635,790930,186916,110688,729
87,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,87700,382981,470681,1095602,481318,231029,1784
88,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,186069,63090,,684189,224043,133913,563
89,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,,67592,959275,1026867,2138591,1013424,503055,1469
90,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,4512,296559,301071,506601,256501,124513,363
91,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,5326,482255,487581,,581016,264663,2867
92,NCT OF DELHI,East,1709346,,801846,1352998,748382,604616,1086,461132,462218,948963,497157,262124,1102
93,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,,0,52664,52664,76076,43913,21773,242
94,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,0,194897,194897,317650,169533,94448,689
95,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,1809,699703,701512,1399165,732515,408953,2610
96,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,41179,606503,647682,1296955,683209,308675,4119
97,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,2918,728145,731063,1588001,785085,355602,3241
98,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,397697,164897,562594,1167889,502211,,15584
99,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,,389059,108694,497753,1058044,453114,242361,21173
100,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,335754,196179,531933,1543867,517271,288165,14634
101,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,344897,148996,493893,1293193,458725,272176,15453
102,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,500452,,650809,1298780,494124,330126,14015
103,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,782294,212967,995261,2346721,,490137,1321
104,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,,129697,,1659515,546362,329127,13458
105,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,214670,58626,273296,815651,248416,141365,1084
106,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,305047,59308,364355,947173,310688,192042,8345
107,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,282057,71264,353321,841697,309237,,1383
108,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,361084,59610,420694,1047136,358718,210117,18438
109,RAJASTHAN,Jaipur,6626178,3468507,,4300965,2554793,1746172,754841,977838,1732679,4091148,1646480,,4493
110,RAJASTHAN,Sikar,,1374990,1302343,1652117,995275,656842,527560,178274,705834,1672813,605002,381226,18292
111,RAJASTHAN,Nagaur,3307743,,1611418,1758624,,655874,675712,166489,842201,2088323,754143,463469,1808
112,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,584215,,891657,2359786,836322,489280,1777
113,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,159117,30830,189947,448969,140294,79977,679
114,RAJASTHAN,Barmer,,1369022,1234729,1188322,783461,404861,542825,55980,598805,1731122,527629,326476,18524
115,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,419216,48202,467418,1176496,390598,249379,12257
116,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,238535,69639,308174,649290,244401,142251,
117,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,512909,139808,652717,1207983,467436,343384,18770
118,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,409335,274919,684254,1561077,629951,388040,3984
119,RAJASTHAN,Tonk,1421326,728136,,749659,478329,,298911,81755,380666,880194,334006,205593,1533
120,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,239836,63452,303288,686771,267648,155958,529
121,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,530015,145865,675880,1439454,589476,365023,14570
122,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,304622,61054,365676,687165,275099,193668,665
123,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,322816,31547,354363,868458,317700,191917,10477
124,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,390437,39407,429844,1153029,406214,216554,21688
125,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,,366780,88873,455653,880043,398303,258997,6995
126,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,203454,311735,515189,1177474,495896,275396,
127,RAJASTHAN,Baran,,633945,588810,693307,432607,260700,249184,69804,318988,762204,286344,173100,1107
128,RAJASTHAN,Jhalawar,1411129,725143,,739792,466815,272977,298624,63763,362387,850546,346110,213674,799
129,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,665449,182769,848218,1876436,739287,451034,1663
130,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,209813,24269,234082,,204801,115608,1452
131,UTTAR PRADESH,Saharanpur,,1834106,1632276,2077108,1220114,856994,605082,284156,889238,,769736,433862,34095
132,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,673746,296104,969850,2671757,911621,544283,15851
133,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,683875,224648,908523,2404576,786305,450186,41646
134,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,,355518,1047916,3168270,988486,525574,89676
135,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,396775,143217,539992,1576123,491164,258913,9619
136,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,335888,115486,451374,1227283,391275,215849,5814
137,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,381520,422303,803823,2165117,780475,451827,46270
138,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,246055,69991,316046,817140,283276,194548,
139,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,355407,836316,1191723,2891069,1139871,559963,90742
140,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,170835,338935,509770,1015648,402967,188862,40638
141,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,658449,221628,880077,2246254,753949,472808,26160
142,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,582117,275942,858059,2378289,787408,472667,35525
143,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,288150,84883,373033,1011157,339137,210083,4331
144,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,407488,177802,,1600686,535738,327854,82906
145,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,496971,406852,903823,2871903,991255,547873,7766
146,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,349747,185621,535368,1621154,543730,312689,20583
147,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,338475,72783,411258,1193660,402321,265638,6910
148,UTTAR PRADESH,Budaun,3681896,,1714137,1547477,986501,560976,710956,156668,867624,2436051,748408,424194,73243
149,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,631613,362798,994411,2893965,952233,514141,88020
150,UTTAR PRADESH,Pilibhit,,1072002,959005,1061095,654290,406805,371752,89638,,1320476,449673,256276,4582
151,UTTAR PRADESH,Shahjahanpur,3006538,,1400135,1490930,915142,575788,,134714,655003,1961237,652237,368743,24321
152,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,754938,107672,,2582597,896611,510832,31203
153,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,827583,111319,938902,2862383,1000987,588318,32304
154,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,786613,121064,907677,2598364,905306,559988,29187
155,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,,121039,717356,1893706,706851,453462,54348
156,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,344155,717566,1061721,2678289,1161686,685258,64605
157,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,705025,73393,778418,2116007,776583,506583,6386
158,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,316647,94843,411490,1224584,411153,246795,2672
159,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,299785,65985,365770,1069916,361028,223535,2137
160,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,265643,85483,351126,979633,362026,237786,2365
161,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,255836,58438,314274,856336,320763,202054,392
162,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,363933,41323,405256,1100820,415918,276272,3174
163,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,364869,684906,1049775,2630411,1209554,731795,9508
164,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,304856,91565,396421,,410090,274954,2113
165,UTTAR PRADESH,Jhansi,1998603,1057436,,1304513,783705,520808,309592,195321,504913,1171301,510728,308331,8243
166,UTTAR PRADESH,Lalitpur,1221592,,580581,641191,397586,243605,258013,43819,301832,793551,265080,159666,3295
167,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,,55300,311381,660774,260368,181109,2034
168,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,198298,48525,246823,527067,201394,137393,10104
169,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,378056,67569,445625,1120432,408527,265310,5141
170,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,,200733,207237,23558,230795,,214228,136669,2787
171,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,558807,77733,636540,1624830,603831,395547,8525
172,UTTAR PRADESH,Pratapgarh,3209141,,1603056,1931559,1121381,810178,711085,41701,,2002569,703727,492097,10748
173,UTTAR PRADESH,Kaushambi,1599596,838485,,813424,507279,306145,349856,30764,380620,1034099,336401,210556,18540
174,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,983266,265304,1248570,3764404,1335224,818137,
175,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,635840,79068,714908,2043335,709494,445269,62601
176,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,510378,79288,589666,1534832,543148,367332,25684
177,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,501559,65031,566590,1499494,515229,367234,15931
178,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,839737,49891,889628,2376875,828222,580164,11856
179,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,698520,61742,760262,2275746,754346,446242,11397
180,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,248770,8504,257274,723443,245098,143979,4841
181,UTTAR PRADESH,Balrampur,2148665,1114721,,868357,,323414,410070,35768,445838,1415213,442339,283947,
182,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,673578,52794,726372,2223078,734903,464584,11354
183,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,480165,33348,,1690396,504002,359977,4922
184,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,,31065,545025,1574037,519265,363891,
185,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,,27179,352151,1108368,352395,250502,3918
186,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,573046,34033,607079,1694493,595114,370573,24523
187,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,761958,189170,951128,2755630,992114,659677,33474
188,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,,42775,785099,2236842,772777,500373,54552
189,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,,597778,67928,665706,1946336,664708,481219,8683
190,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,891024,80434,971458,2930243,965876,699954,17840
191,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,352207,99321,451528,1402738,467343,,12627
192,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,564927,64454,629381,1975934,724362,502628,36850
193,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,,1565394,1166283,926088,80582,1006670,2826453,927026,689979,50746
194,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,700173,61467,761640,2234593,774130,556273,55272
195,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,344937,50822,395759,1222695,437000,287767,5294
196,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,438935,316129,755064,2260457,856070,531549,28765
197,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,293510,45997,339507,1032294,331743,209920,4256
198,UTTAR PRADESH,Mirzapur,2496970,1312302,,1428683,865837,562846,465152,77963,543115,1590528,552177,346773,7492
199,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,337048,91040,428088,1203938,418914,237866,1841
200,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,334246,67752,401998,1149372,383707,237427,3974
201,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,,272047,271234,,343724,946320,301252,183434,5713
202,BIHAR,Pashchim Champaran,3935042,2061110,,1759481,1091226,668255,839514,96620,,2544205,888205,497793,4839
203,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1142260,101565,1243825,3316422,1122340,648009,12600
204,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,158484,7516,166000,421241,139909,93398,1698
205,BIHAR,Sitamarhi,3423574,1803252,,1436794,885188,551606,,49670,856964,2206340,739982,449035,28217
206,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1047552,41234,1088786,2860455,,611899,
207,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,572287,27815,600102,1453438,495020,277610,3008
208,BIHAR,Araria,2811569,1463333,1348236,1195768,,468125,,44213,703274,1872943,612012,324091,2523
209,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,401793,43357,445150,1139615,361114,188447,1224
210,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,712847,,798596,2155512,,372692,39859
211,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,,69838,738070,2054202,660403,353483,2941
212,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,486278,24000,,1311771,444235,242382,3374
213,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,432651,38046,470697,1249692,415863,233870,
214,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,907174,95539,1002713,2535344,865971,529314,6756
215,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,998694,120700,1119394,3016735,1079189,697108,
216,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,515925,38133,554058,1642807,546202,370662,2341
217,BIHAR,Siwan,3330464,1675090,,1930175,1115906,814269,632514,41858,674372,2115448,713597,498299,
218,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,701323,76299,777622,2516115,847031,585386,3330
219,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,699317,51494,750811,2176701,759132,486032,73156
220,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1012979,43486,1056465,2766930,913339,568812,12485
221,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,594377,139248,733625,1951688,644874,369996,3983
222,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,373696,21007,394703,1114645,355531,195796,914
223,BIHAR,Bhagalpur,3037766,1615663,,1573066,937669,635397,522527,130634,653161,1952879,674660,397654,12573
224,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,425604,18492,,1291235,462080,278863,2585
225,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,222281,85782,308063,860147,316713,188319,2586
226,BIHAR,Lakhisarai,1000912,526345,,507270,305182,202088,175882,31763,207645,650642,218840,130655,775
227,BIHAR,Sheikhpura,636342,329743,306599,328676,,132245,108293,24345,,413475,136898,85045,924
228,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,,102522,616663,1829128,642197,403129,3199
229,BIHAR,Patna,5838465,3078512,2759953,3459679,2028047,1431632,657991,552103,1210094,,1382654,815638,13609
230,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,434559,77368,511927,1722387,613072,387389,5559
231,BIHAR,Buxar,1706352,887977,818375,989807,593544,396263,299252,35405,334657,1074754,375372,253998,2228
232,BIHAR,Kaimur (Bhabua),1626384,847006,779378,920276,549923,370353,325143,15299,340442,1039302,353413,226808,6861
233,BIHAR,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,512383,95678,608061,1875174,673742,407193,3809
234,BIHAR,Aurangabad,2540073,1318684,1221389,1466002,868733,597269,428291,49006,477297,1626969,,340948,7585
235,BIHAR,Gaya,4391418,2266566,2124852,2297613,1368803,928810,696289,111282,807571,2810026,936630,537333,107429
236,BIHAR,Nawada,,1144668,1074478,1091012,659474,431538,,45323,424874,1440781,485628,288805,3932
